home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Aston Villa,Southampton,1,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,1996/97,1997-05-11
Middlesbrough,Aston Villa,3,2,Middlesbrough,Aston Villa,"Riverside Stadium, Middlesbrough",1,1996/97,1997-05-03
Leeds,Aston Villa,0,0,draw,draw,"Elland Road, Leeds",1,1996/97,1997-04-22
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,1996/97,1997-04-19
Derby,Aston Villa,2,1,Derby,Aston Villa,"Baseball Ground, Derby",1,1996/97,1997-04-12
Wimbledon,Aston Villa,0,2,Aston Villa,Wimbledon,"Selhurst Park, London",1,1996/97,1997-04-09
Aston Villa,Everton,3,1,Aston Villa,Everton,"Villa Park, Birmingham",1,1996/97,1997-04-05
Blackburn,Aston Villa,0,2,Aston Villa,Blackburn,"Ewood Park, Blackburn",1,1996/97,1997-03-22
Aston Villa,West Ham,0,0,draw,draw,"Villa Park, Birmingham",1,1996/97,1997-03-15
Leicester,Aston Villa,1,0,Leicester,Aston Villa,"Filbert Street, Leicester",1,1996/97,1997-03-05
Aston Villa,Liverpool,1,0,Aston Villa,Liverpool,"Villa Park, Birmingham",1,1996/97,1997-03-02
Nott'm Forest,Aston Villa,0,0,draw,draw,"City Ground, Nottingham",1,1996/97,1997-02-22
Aston Villa,Coventry,2,1,Aston Villa,Coventry,"Villa Park, Birmingham",1,1996/97,1997-02-19
Aston Villa,Sunderland,1,0,Aston Villa,Sunderland,"Villa Park, Birmingham",1,1996/97,1997-02-01
Aston Villa,Sheffield Wed,0,1,Sheffield Wed,Aston Villa,"Villa Park, Birmingham",1,1996/97,1997-01-29
Liverpool,Aston Villa,3,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,1996/97,1997-01-18
Aston Villa,Newcastle,2,2,draw,draw,"Villa Park, Birmingham",1,1996/97,1997-01-11
Man Utd,Aston Villa,0,0,draw,draw,"Old Trafford, Manchester",1,1996/97,1997-01-01
Arsenal,Aston Villa,2,2,draw,draw,"Highbury, London",1,1996/97,1996-12-28
Aston Villa,Chelsea,0,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,1996/97,1996-12-26
Aston Villa,Wimbledon,5,0,Aston Villa,Wimbledon,"Villa Park, Birmingham",1,1996/97,1996-12-22
Southampton,Aston Villa,0,1,Aston Villa,Southampton,"The Dell, Southampton",1,1996/97,1996-12-07
West Ham,Aston Villa,0,2,Aston Villa,West Ham,"Boleyn Ground, London",1,1996/97,1996-12-04
Aston Villa,Middlesbrough,1,0,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,1996/97,1996-11-30
Coventry,Aston Villa,1,2,Aston Villa,Coventry,"Highfield Road, Coventry",1,1996/97,1996-11-23
Aston Villa,Leicester,1,3,Leicester,Aston Villa,"Villa Park, Birmingham",1,1996/97,1996-11-16
Aston Villa,Nott'm Forest,2,0,Aston Villa,Nott'm Forest,"Villa Park, Birmingham",1,1996/97,1996-11-02
Sunderland,Aston Villa,1,0,Sunderland,Aston Villa,"Roker Park, Sunderland",1,1996/97,1996-10-26
Aston Villa,Leeds,2,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,1996/97,1996-10-19
Spurs,Aston Villa,1,0,Spurs,Aston Villa,"White Hart Lane, London",1,1996/97,1996-10-12
Newcastle,Aston Villa,4,3,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1996/97,1996-09-30
Aston Villa,Man Utd,0,0,draw,draw,"Villa Park, Birmingham",1,1996/97,1996-09-21
Chelsea,Aston Villa,1,1,draw,draw,"Stamford Bridge, London",1,1996/97,1996-09-15
Aston Villa,Arsenal,2,2,draw,draw,"Villa Park, Birmingham",1,1996/97,1996-09-07
Everton,Aston Villa,0,1,Aston Villa,Everton,"Goodison Park, Liverpool",1,1996/97,1996-09-04
Aston Villa,Derby,2,0,Aston Villa,Derby,"Villa Park, Birmingham",1,1996/97,1996-08-24
Aston Villa,Blackburn,1,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,1996/97,1996-08-21
Sheffield Wed,Aston Villa,2,1,Sheffield Wed,Aston Villa,"Hillsborough, Sheffield",1,1996/97,1996-08-17
Everton,Aston Villa,1,0,Everton,Aston Villa,"Goodison Park, Liverpool",1,1995/96,1996-05-05
Aston Villa,Man City,0,1,Man City,Aston Villa,"Villa Park, Birmingham",1,1995/96,1996-04-27
Aston Villa,West Ham,1,1,draw,draw,"Villa Park, Birmingham",1,1995/96,1996-04-17
Newcastle,Aston Villa,1,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1995/96,1996-04-14
Aston Villa,Southampton,3,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,1995/96,1996-04-08
Chelsea,Aston Villa,1,2,Aston Villa,Chelsea,"Stamford Bridge, London",1,1995/96,1996-04-06
Aston Villa,Middlesbrough,0,0,draw,draw,"Villa Park, Birmingham",1,1995/96,1996-03-19
Sheffield Wed,Aston Villa,2,0,Sheffield Wed,Aston Villa,"Hillsborough, Sheffield",1,1995/96,1996-03-16
Aston Villa,QPR,4,2,Aston Villa,QPR,"Villa Park, Birmingham",1,1995/96,1996-03-09
Aston Villa,Sheffield Wed,3,2,Aston Villa,Sheffield Wed,"Villa Park, Birmingham",1,1995/96,1996-03-06
Liverpool,Aston Villa,3,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,1995/96,1996-03-03
Aston Villa,Blackburn,2,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,1995/96,1996-02-28
Wimbledon,Aston Villa,3,3,draw,draw,"Selhurst Park, London",1,1995/96,1996-02-24
Bolton,Aston Villa,0,2,Aston Villa,Bolton,"Burnden Park, Bolton",1,1995/96,1996-02-10
Aston Villa,Leeds,3,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,1995/96,1996-02-03
Aston Villa,Liverpool,0,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,1995/96,1996-01-31
Aston Villa,Spurs,2,1,Aston Villa,Spurs,"Villa Park, Birmingham",1,1995/96,1996-01-21
Man Utd,Aston Villa,0,0,draw,draw,"Old Trafford, Manchester",1,1995/96,1996-01-13
Middlesbrough,Aston Villa,0,2,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,1995/96,1996-01-01
QPR,Aston Villa,1,0,QPR,Aston Villa,"Loftus Road, London",1,1995/96,1995-12-23
Aston Villa,Coventry,4,1,Aston Villa,Coventry,"Villa Park, Birmingham",1,1995/96,1995-12-16
Nott'm Forest,Aston Villa,1,1,draw,draw,"City Ground, Nottingham",1,1995/96,1995-12-10
Aston Villa,Arsenal,1,1,draw,draw,"Villa Park, Birmingham",1,1995/96,1995-12-02
Man City,Aston Villa,1,0,Man City,Aston Villa,"Maine Road, Manchester",1,1995/96,1995-11-25
Southampton,Aston Villa,0,1,Aston Villa,Southampton,"The Dell, Southampton",1,1995/96,1995-11-20
Aston Villa,Newcastle,1,1,draw,draw,"Villa Park, Birmingham",1,1995/96,1995-11-18
West Ham,Aston Villa,1,4,Aston Villa,West Ham,"Boleyn Ground, London",1,1995/96,1995-11-04
Aston Villa,Everton,1,0,Aston Villa,Everton,"Villa Park, Birmingham",1,1995/96,1995-10-28
Arsenal,Aston Villa,2,0,Arsenal,Aston Villa,"Highbury, London",1,1995/96,1995-10-21
Aston Villa,Chelsea,0,1,Chelsea,Aston Villa,"Villa Park, Birmingham",1,1995/96,1995-10-14
Coventry,Aston Villa,0,3,Aston Villa,Coventry,"Highfield Road, Coventry",1,1995/96,1995-09-30
Aston Villa,Nott'm Forest,1,1,draw,draw,"Villa Park, Birmingham",1,1995/96,1995-09-23
Aston Villa,Wimbledon,2,0,Aston Villa,Wimbledon,"Villa Park, Birmingham",1,1995/96,1995-09-16
Blackburn,Aston Villa,1,1,draw,draw,"Ewood Park, Blackburn",1,1995/96,1995-09-09
Aston Villa,Bolton,1,0,Aston Villa,Bolton,"Villa Park, Birmingham",1,1995/96,1995-08-30
Leeds,Aston Villa,2,0,Leeds,Aston Villa,"Elland Road, Leeds",1,1995/96,1995-08-26
Spurs,Aston Villa,0,1,Aston Villa,Spurs,"White Hart Lane, London",1,1995/96,1995-08-23
Aston Villa,Man Utd,3,1,Aston Villa,Man Utd,"Villa Park, Birmingham",1,1995/96,1995-08-19
Norwich,Aston Villa,1,1,draw,draw,"Carrow Road, Norwich",1,1994/95,1995-05-14
Aston Villa,Liverpool,2,0,Aston Villa,Liverpool,"Villa Park, Birmingham",1,1994/95,1995-05-06
Aston Villa,Man City,1,1,draw,draw,"Villa Park, Birmingham",1,1994/95,1995-05-03
Leeds,Aston Villa,1,0,Leeds,Aston Villa,"Elland Road, Leeds",1,1994/95,1995-04-29
Aston Villa,Arsenal,0,4,Arsenal,Aston Villa,"Villa Park, Birmingham",1,1994/95,1995-04-17
Chelsea,Aston Villa,1,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,1994/95,1995-04-15
Crystal Palace,Aston Villa,0,0,draw,draw,"Selhurst Park, London",1,1994/95,1995-04-04
Ipswich,Aston Villa,0,1,Aston Villa,Ipswich,"Portman Road, Ipswich",1,1994/95,1995-04-01
Aston Villa,West Ham,0,2,West Ham,Aston Villa,"Villa Park, Birmingham",1,1994/95,1995-03-18
Aston Villa,Coventry,0,0,draw,draw,"Villa Park, Birmingham",1,1994/95,1995-03-06
Aston Villa,Blackburn,0,1,Blackburn,Aston Villa,"Villa Park, Birmingham",1,1994/95,1995-03-04
Newcastle,Aston Villa,3,1,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1994/95,1995-02-25
Aston Villa,Leicester,4,4,draw,draw,"Villa Park, Birmingham",1,1994/95,1995-02-22
Sheffield Wed,Aston Villa,1,2,Aston Villa,Sheffield Wed,"Hillsborough, Sheffield",1,1994/95,1995-02-18
Aston Villa,Wimbledon,7,1,Aston Villa,Wimbledon,"Villa Park, Birmingham",1,1994/95,1995-02-11
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,1994/95,1995-02-04
Aston Villa,Spurs,1,0,Aston Villa,Spurs,"Villa Park, Birmingham",1,1994/95,1995-01-25
Nott'm Forest,Aston Villa,1,2,Aston Villa,Nott'm Forest,"City Ground, Nottingham",1,1994/95,1995-01-21
Aston Villa,QPR,2,1,Aston Villa,QPR,"Villa Park, Birmingham",1,1994/95,1995-01-14
Aston Villa,Leeds,0,0,draw,draw,"Villa Park, Birmingham",1,1994/95,1995-01-02
Man City,Aston Villa,2,2,draw,draw,"Maine Road, Manchester",1,1994/95,1994-12-31
Aston Villa,Chelsea,3,0,Aston Villa,Chelsea,"Villa Park, Birmingham",1,1994/95,1994-12-28
Arsenal,Aston Villa,0,0,draw,draw,"Highbury, London",1,1994/95,1994-12-26
Southampton,Aston Villa,2,1,Southampton,Aston Villa,"The Dell, Southampton",1,1994/95,1994-12-19
Aston Villa,Everton,0,0,draw,draw,"Villa Park, Birmingham",1,1994/95,1994-12-10
Leicester,Aston Villa,1,1,draw,draw,"Filbert Street, Leicester",1,1994/95,1994-12-03
Aston Villa,Sheffield Wed,1,1,draw,draw,"Villa Park, Birmingham",1,1994/95,1994-11-27
Spurs,Aston Villa,3,4,Aston Villa,Spurs,"White Hart Lane, London",1,1994/95,1994-11-19
Wimbledon,Aston Villa,4,3,Wimbledon,Aston Villa,"Selhurst Park, London",1,1994/95,1994-11-09
Aston Villa,Man Utd,1,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,1994/95,1994-11-06
QPR,Aston Villa,2,0,QPR,Aston Villa,"Loftus Road, London",1,1994/95,1994-10-29
Aston Villa,Nott'm Forest,0,2,Nott'm Forest,Aston Villa,"Villa Park, Birmingham",1,1994/95,1994-10-22
Aston Villa,Norwich,1,1,draw,draw,"Villa Park, Birmingham",1,1994/95,1994-10-15
Liverpool,Aston Villa,3,2,Liverpool,Aston Villa,"Anfield, Liverpool",1,1994/95,1994-10-08
Aston Villa,Newcastle,0,2,Newcastle,Aston Villa,"Villa Park, Birmingham",1,1994/95,1994-10-01
Blackburn,Aston Villa,3,1,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,1994/95,1994-09-24
West Ham,Aston Villa,1,0,West Ham,Aston Villa,"Boleyn Ground, London",1,1994/95,1994-09-17
Aston Villa,Ipswich,2,0,Aston Villa,Ipswich,"Villa Park, Birmingham",1,1994/95,1994-09-10
Coventry,Aston Villa,0,1,Aston Villa,Coventry,"Highfield Road, Coventry",1,1994/95,1994-08-29
Aston Villa,Crystal Palace,1,1,draw,draw,"Villa Park, Birmingham",1,1994/95,1994-08-27
Aston Villa,Southampton,1,1,draw,draw,"Villa Park, Birmingham",1,1994/95,1994-08-24
Everton,Aston Villa,2,2,draw,draw,"Goodison Park, Liverpool",1,1994/95,1994-08-20
Aston Villa,Liverpool,2,1,Aston Villa,Liverpool,"Villa Park, Birmingham",1,1993/94,1994-05-07
Southampton,Aston Villa,4,1,Southampton,Aston Villa,"The Dell, Southampton",1,1993/94,1994-04-30
Newcastle,Aston Villa,5,1,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,1993/94,1994-04-27
Aston Villa,Arsenal,1,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,1993/94,1994-04-23
Sheffield Utd,Aston Villa,1,2,Aston Villa,Sheffield Utd,"Bramall Lane, Sheffield",1,1993/94,1994-04-16
Blackburn,Aston Villa,1,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,1993/94,1994-04-11
Aston Villa,Norwich,0,0,draw,draw,"Villa Park, Birmingham",1,1993/94,1994-04-04
Man City,Aston Villa,3,0,Man City,Aston Villa,"Maine Road, Manchester",1,1993/94,1994-04-02
Aston Villa,Everton,0,0,draw,draw,"Villa Park, Birmingham",1,1993/94,1994-03-30
Aston Villa,Oldham,1,2,Oldham,Aston Villa,"Villa Park, Birmingham",1,1993/94,1994-03-19
Leeds,Aston Villa,2,0,Leeds,Aston Villa,"Elland Road, Leeds",1,1993/94,1994-03-16
Aston Villa,Ipswich,0,1,Ipswich,Aston Villa,"Villa Park, Birmingham",1,1993/94,1994-03-12
Coventry,Aston Villa,0,1,Aston Villa,Coventry,"Highfield Road, Coventry",1,1993/94,1994-03-06
Spurs,Aston Villa,1,1,draw,draw,"White Hart Lane, London",1,1993/94,1994-03-02
Aston Villa,Man City,0,0,draw,draw,"Villa Park, Birmingham",1,1993/94,1994-02-22
Aston Villa,Swindon,5,0,Aston Villa,Swindon,"Villa Park, Birmingham",1,1993/94,1994-02-12
Aston Villa,Leeds,1,0,Aston Villa,Leeds,"Villa Park, Birmingham",1,1993/94,1994-02-06
Chelsea,Aston Villa,1,1,draw,draw,"Stamford Bridge, London",1,1993/94,1994-01-22
Aston Villa,West Ham,3,1,Aston Villa,West Ham,"Villa Park, Birmingham",1,1993/94,1994-01-15
Aston Villa,Blackburn,0,1,Blackburn,Aston Villa,"Villa Park, Birmingham",1,1993/94,1994-01-01
Norwich,Aston Villa,1,2,Aston Villa,Norwich,"Carrow Road, Norwich",1,1993/94,1993-12-29
Man Utd,Aston Villa,3,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,1993/94,1993-12-19
Aston Villa,Wimbledon,0,1,Wimbledon,Aston Villa,"Villa Park, Birmingham",1,1993/94,1993-12-11
Aston Villa,Sheffield Wed,2,2,draw,draw,"Villa Park, Birmingham",1,1993/94,1993-12-08
QPR,Aston Villa,2,2,draw,draw,"Loftus Road, London",1,1993/94,1993-12-04
Liverpool,Aston Villa,2,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,1993/94,1993-11-28
Aston Villa,Southampton,0,2,Southampton,Aston Villa,"Villa Park, Birmingham",1,1993/94,1993-11-24
Aston Villa,Sheffield Utd,1,0,Aston Villa,Sheffield Utd,"Villa Park, Birmingham",1,1993/94,1993-11-20
Arsenal,Aston Villa,1,2,Aston Villa,Arsenal,"Highbury, London",1,1993/94,1993-11-06
Swindon,Aston Villa,1,2,Aston Villa,Swindon,"County Ground, Swindon",1,1993/94,1993-10-30
Aston Villa,Chelsea,1,0,Aston Villa,Chelsea,"Villa Park, Birmingham",1,1993/94,1993-10-23
West Ham,Aston Villa,0,0,draw,draw,"Boleyn Ground, London",1,1993/94,1993-10-16
Aston Villa,Newcastle,0,2,Newcastle,Aston Villa,"Villa Park, Birmingham",1,1993/94,1993-10-02
Oldham,Aston Villa,1,1,draw,draw,"Boundary Park, Oldham",1,1993/94,1993-09-25
Ipswich,Aston Villa,1,2,Aston Villa,Ipswich,"Portman Road, Ipswich",1,1993/94,1993-09-18
Aston Villa,Coventry,0,0,draw,draw,"Villa Park, Birmingham",1,1993/94,1993-09-11
Everton,Aston Villa,0,1,Aston Villa,Everton,"Goodison Park, Liverpool",1,1993/94,1993-08-31
Aston Villa,Spurs,1,0,Aston Villa,Spurs,"Villa Park, Birmingham",1,1993/94,1993-08-28
Aston Villa,Man Utd,1,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,1993/94,1993-08-23
Wimbledon,Aston Villa,2,2,draw,draw,"Selhurst Park, London",1,1993/94,1993-08-21
Sheffield Wed,Aston Villa,0,0,draw,draw,"Hillsborough, Sheffield",1,1993/94,1993-08-18
Aston Villa,QPR,4,1,Aston Villa,QPR,"Villa Park, Birmingham",1,1993/94,1993-08-14
QPR,Aston Villa,2,1,QPR,Aston Villa,"Loftus Road, London",1,1992/93,1993-05-09
Aston Villa,Oldham,0,1,Oldham,Aston Villa,"Villa Park, Birmingham",1,1992/93,1993-05-02
Blackburn,Aston Villa,3,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,1992/93,1993-04-21
Aston Villa,Man City,3,1,Aston Villa,Man City,"Villa Park, Birmingham",1,1992/93,1993-04-18
Arsenal,Aston Villa,0,1,Aston Villa,Arsenal,"Highbury, London",1,1992/93,1993-04-12
Aston Villa,Coventry,0,0,draw,draw,"Villa Park, Birmingham",1,1992/93,1993-04-10
Nott'm Forest,Aston Villa,0,1,Aston Villa,Nott'm Forest,"City Ground, Nottingham",1,1992/93,1993-04-04
Norwich,Aston Villa,1,0,Norwich,Aston Villa,"Carrow Road, Norwich",1,1992/93,1993-03-24
Aston Villa,Sheffield Wed,2,0,Aston Villa,Sheffield Wed,"Villa Park, Birmingham",1,1992/93,1993-03-20
Man Utd,Aston Villa,1,1,draw,draw,"Old Trafford, Manchester",1,1992/93,1993-03-14
Aston Villa,Spurs,0,0,draw,draw,"Villa Park, Birmingham",1,1992/93,1993-03-10
Aston Villa,Wimbledon,1,0,Aston Villa,Wimbledon,"Villa Park, Birmingham",1,1992/93,1993-02-27
Aston Villa,Everton,2,1,Aston Villa,Everton,"Villa Park, Birmingham",1,1992/93,1993-02-20
Chelsea,Aston Villa,0,1,Aston Villa,Chelsea,"Stamford Bridge, London",1,1992/93,1993-02-13
Crystal Palace,Aston Villa,1,0,Crystal Palace,Aston Villa,"Selhurst Park, London",1,1992/93,1993-02-10
Aston Villa,Ipswich,2,0,Aston Villa,Ipswich,"Villa Park, Birmingham",1,1992/93,1993-02-06
Southampton,Aston Villa,2,0,Southampton,Aston Villa,"The Dell, Southampton",1,1992/93,1993-01-30
Aston Villa,Sheffield Utd,3,1,Aston Villa,Sheffield Utd,"Villa Park, Birmingham",1,1992/93,1993-01-27
Aston Villa,Middlesbrough,5,1,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,1992/93,1993-01-17
Liverpool,Aston Villa,1,2,Aston Villa,Liverpool,"Anfield, Liverpool",1,1992/93,1993-01-09
Aston Villa,Arsenal,1,0,Aston Villa,Arsenal,"Villa Park, Birmingham",1,1992/93,1992-12-28
Coventry,Aston Villa,3,0,Coventry,Aston Villa,"Highfield Road, Coventry",1,1992/93,1992-12-26
Man City,Aston Villa,1,1,draw,draw,"Maine Road, Manchester",1,1992/93,1992-12-19
Aston Villa,Nott'm Forest,2,1,Aston Villa,Nott'm Forest,"Villa Park, Birmingham",1,1992/93,1992-12-12
Sheffield Wed,Aston Villa,1,2,Aston Villa,Sheffield Wed,"Hillsborough, Sheffield",1,1992/93,1992-12-05
Aston Villa,Norwich,2,3,Norwich,Aston Villa,"Villa Park, Birmingham",1,1992/93,1992-11-28
Spurs,Aston Villa,0,0,draw,draw,"White Hart Lane, London",1,1992/93,1992-11-21
Aston Villa,Man Utd,1,0,Aston Villa,Man Utd,"Villa Park, Birmingham",1,1992/93,1992-11-07
Aston Villa,QPR,2,0,Aston Villa,QPR,"Villa Park, Birmingham",1,1992/93,1992-11-01
Oldham,Aston Villa,1,1,draw,draw,"Boundary Park, Oldham",1,1992/93,1992-10-24
Aston Villa,Blackburn,0,0,draw,draw,"Villa Park, Birmingham",1,1992/93,1992-10-19
Wimbledon,Aston Villa,2,3,Aston Villa,Wimbledon,"Selhurst Park, London",1,1992/93,1992-10-03
Middlesbrough,Aston Villa,2,3,Aston Villa,Middlesbrough,"Ayresome Park, Middlesbrough",1,1992/93,1992-09-26
Aston Villa,Liverpool,4,2,Aston Villa,Liverpool,"Villa Park, Birmingham",1,1992/93,1992-09-19
Leeds,Aston Villa,1,1,draw,draw,"Elland Road, Leeds",1,1992/93,1992-09-13
Aston Villa,Crystal Palace,3,0,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,1992/93,1992-09-05
Aston Villa,Chelsea,1,3,Chelsea,Aston Villa,"Villa Park, Birmingham",1,1992/93,1992-09-02
Sheffield Utd,Aston Villa,0,2,Aston Villa,Sheffield Utd,"Bramall Lane, Sheffield",1,1992/93,1992-08-29
Everton,Aston Villa,1,0,Everton,Aston Villa,"Goodison Park, Liverpool",1,1992/93,1992-08-25
Aston Villa,Southampton,1,1,draw,draw,"Villa Park, Birmingham",1,1992/93,1992-08-22
Aston Villa,Leeds,1,1,draw,draw,"Villa Park, Birmingham",1,1992/93,1992-08-19
Ipswich,Aston Villa,1,1,draw,draw,"Portman Road, Ipswich",1,1992/93,1992-08-15
